step,vehicle_count,speed,co2_emission
426,76,11.021998950003539,3192.361843107465
427,76,11.012760102432793,3534.3954036328805
428,76,10.883473643323931,3340.495643463593
429,77,10.820685840610517,3508.2339723915493
430,77,10.856614834619094,3325.4173004006084
431,77,10.984456418030087,3345.666885372145
432,78,10.762316545198884,3288.551885161037
433,78,10.71224669666175,3448.1032576122825
434,78,10.768711048944159,3485.1627618348934
435,79,10.74725981648499,3527.1129510796304
436,78,10.849492276814264,3489.0259024843017
437,78,10.706944999223822,3121.2958288846407
438,79,10.395787770425617,3036.1929065078357
439,79,10.167955883294002,2564.8136125180276
440,79,10.240951708655839,3340.867551777506
441,79,9.979930143439734,2569.570027315595
442,79,9.886321701206846,2763.8545475857654
443,79,9.935338296074622,3294.9827342305666
444,77,9.731123577039693,3244.1148005430887
445,76,9.887210730630287,3751.537322129351
446,75,9.85086412542691,3343.2596575579455
447,75,9.941166097640284,3908.483087153704
448,75,9.939099214807758,3443.50361849853
449,75,10.360605811522825,3763.010570227736
450,75,10.44042379754653,3068.638538652185
451,75,10.501742466011214,3413.0987550523064
452,75,10.180880159138178,2614.741909296113
453,76,9.557859150086177,2428.11073466516
454,76,9.160655066143448,2566.960524833886
455,76,8.759541132445003,2607.51689765318
456,77,8.2430893208233,2925.520507381798
457,77,8.24217105361689,3027.360601234543
458,77,8.109930043331163,2691.284255263835
459,78,8.032200352347246,2886.6688037634713
460,78,7.9832523170072225,2749.5271680806673
461,77,7.931784509805454,2667.1533655686844
462,77,8.064924589681064,3268.988540276567
463,77,8.25212765827453,3205.336780367448
464,77,8.411377811208657,3127.8135574986204
465,76,8.297767024577924,3160.6871515738344
466,75,8.384344949247637,3038.009981613514
467,75,8.360247875700182,2838.075856211603
468,75,8.403808257397015,2980.8918582045194
469,75,8.634588862145677,2806.751851153657
470,73,8.668082592596916,3255.6151326608847
471,73,8.643262449830978,3095.2385518594447
472,73,8.988286495599777,3567.2202243134943
473,71,9.245719036419457,3769.6087220780596
474,72,9.286408854256058,3368.5310680342636
475,72,9.362382713016451,3207.90388725535
476,71,9.487685847933891,2982.1258991247223
477,72,9.475612089950452,3376.773912477729
478,71,9.450168509311466,3475.2071766822964
479,71,9.433013000857105,3120.703454492258
480,72,9.260136633054223,3056.293705465555
481,71,9.268416576275435,2764.631832486867
482,71,9.159822672172087,2788.645482046221
483,72,8.660891615681837,2587.0822676295625
484,71,8.399644436414794,3159.8350631397225
485,70,8.360130271096013,2937.088257027371
486,71,8.268053287132233,2932.8057207773
487,69,8.27678106767115,3015.0024337062714
488,69,8.469504952434155,3246.9446113670624
489,69,8.310229997799448,2937.319349055532
490,69,8.403113551083297,3106.785529055959
491,69,8.516398366775755,3239.3081960467384
492,70,8.6486559658247,3527.128539396618
493,70,8.582859362614146,2838.4895112530908
494,70,8.747628999630594,3189.3858566996737
495,71,8.769757290483227,3205.4072745443905
496,71,9.013522316084966,3519.843872082349
497,71,9.134413647511435,3304.204645181988
498,72,8.99781067290829,2768.0131845855044
499,72,8.910125570418877,2633.3646050458387
500,72,9.032239817102855,2776.449236400716
501,73,8.867199226919105,2786.963404429568
502,73,8.983686281111632,2950.8091470842996
503,73,9.240611649611298,3488.812988325346
504,74,9.30691009926513,3350.336711927476
505,72,9.728050438032934,3678.2774014552797
506,72,9.948569186123997,3344.7212158177385
507,73,9.855935924058008,3066.703128518445
508,72,9.814401898064519,3176.7020737172083
509,71,9.80510499572177,3014.8999607268224
510,72,9.72054800871181,3161.666370012318
511,72,9.591961433464308,2712.397573465472
512,72,9.470324787513178,3117.5788797942955
513,73,9.2432358793425,2933.971728337363
514,73,9.303487767590063,3375.6844226333196
515,73,9.339418273002366,2966.0848083918954
516,72,9.060059090559829,2205.7646639113113
517,71,8.954494600893673,2643.9133915965926
518,71,8.923141185358181,2454.3979470007534
519,72,8.694997951847318,2439.50762956948
520,72,8.67954805077463,2586.3056094823414
521,71,8.79440115060762,2989.1841334940805
522,72,8.667276400999498,2745.80236160819
523,72,8.695087747214139,2579.64496621213
524,72,8.814728517825092,2657.390494235163
525,72,8.556903275829326,2322.518082879573
526,72,8.67265895466337,2696.510774264134
527,71,8.709542290301737,2572.2367864655894
528,72,8.89921568213341,2904.9093326395505
529,72,9.030638923905567,2706.9349657758275
530,72,8.728554385748295,2025.1728288764925
531,72,8.054327905316885,2460.741634423976
532,72,8.043287489041859,2550.143651921478
533,72,8.0899127264013,2889.8421435569985
534,70,8.139643419025843,3039.659060799844
535,70,8.6325040571696,3358.0666421358683
536,70,8.949286343151396,3128.2603850314267
537,71,9.025125880502623,3343.4357964768
538,71,9.197099814641431,3466.368029606147
539,71,9.509467145476144,3581.2541248059474
540,72,9.603183386714802,3366.9908300910515
541,72,9.88773854307987,3310.985904276663
542,72,10.11780255994804,2870.063858045667
543,73,10.005412692792317,2767.316425730398
544,72,9.825212440926874,2562.002502503872
545,72,9.751661130318539,2943.4677293732716
546,72,9.575229522787275,2942.5540948584703
547,72,9.327400797299255,2375.8883715594516
548,72,8.738536293840006,1956.4291588891963
549,72,8.494349627080194,2917.97896554976
550,72,8.597865876856824,3029.1132505603596
551,72,8.88167089729611,3460.205512955914
552,73,9.160516553883106,3881.7680363170643
553,73,9.279655826942282,3172.7309751426815
554,73,9.033776248426868,2499.1755065507523
555,74,8.881182161643828,2808.5756024870175
556,74,8.86536204610187,2486.3866941420624
557,73,8.753414499121824,3071.0433366831526
558,73,8.501254879956193,3014.1232748564685
559,73,8.321846777504202,2501.2036305701627
560,73,8.301922991392246,2737.0778526567046
561,74,8.446473209175972,3027.127444739156
562,74,8.713857337752428,2732.3733088993904
563,73,9.054501652513125,3372.4249213113826
564,74,9.094429383338422,3040.0339037698245
565,74,9.164077951274175,3128.178339602042
566,72,9.148119077018881,3363.131841649025
567,73,9.184668821065097,3290.527243519678
568,72,9.22390163327028,3020.777862375313
569,72,9.224745715655155,2843.3024483319737
570,72,9.19904724071479,3035.233261494051
571,72,9.223650027875534,3147.157840984656
572,72,9.376298060548018,3310.304982443723
573,73,9.140843900835197,2963.384310492627
574,73,9.10003998547823,2855.9945102878055
575,73,9.034363051251736,2750.7314055126517
576,73,9.02951451713605,3178.367585683293
577,73,9.221084555962868,3227.5498642145235
578,72,9.126970780450971,2986.8795516565715
579,73,8.989888685910472,3084.8306146144478
580,73,9.143939169740955,3150.4978409660066
581,71,9.353044451451687,3361.153058047339
582,72,9.441459330779871,3552.7755755772687
583,71,9.594941450073353,3166.3001191633703
584,71,9.81999787228458,3416.277248234584
585,72,9.533532152180776,3115.4285407758935
586,72,9.101398712032063,2731.2430452235544
587,72,8.595426311285053,2719.7497301628737
588,72,7.942541806077949,2573.9326636921087
589,72,7.8083145666538805,2678.590575627257
590,72,7.842027073432607,2857.3190413115035
591,73,7.832465171012421,2671.5192982139342
592,73,8.09590566966339,3076.79055903847
593,73,8.126605775906302,2389.487068326977
594,74,8.299029163902459,2886.5936086539673
595,74,8.773253586093682,3397.415809381726
596,74,9.163531039932822,3545.7016880142023
597,75,9.346495119988429,3568.104384698912
598,75,9.512051300421584,3545.1883163139596
599,73,9.33877452916647,2751.246688725123
600,73,8.961319265390106,2772.524705336329
601,73,9.302650461732417,3690.5719403527846
602,73,9.640943149273683,3772.679654474278
603,74,9.786603515405918,3685.0430893938606
604,73,10.191404134730837,4332.267315318055
605,73,10.557015282376591,4097.432455736724
606,74,10.618168449791664,4050.5052110828033
607,73,10.932967912234274,4287.155693955176
608,73,11.186255980703278,3951.22966857351
609,74,11.131691515960558,3197.700919413095
610,74,11.086307357256606,3415.9148938675426
611,74,10.733416359624519,2912.11999213081
612,75,10.174695197931648,2810.0802891775647
613,75,9.607182234108977,2107.564609304521
614,75,9.048889557864356,2237.589477538458
615,76,8.691420329976859,2647.4855547562242
616,76,8.7570576950495,2653.204028619185
617,76,8.925905730243732,3140.315997913148
618,75,9.206643827590025,3363.346557828344
619,75,9.22625789437529,3398.8947328176773
620,75,9.668884024585397,3134.2732060191065
621,76,9.796102607693957,3306.2653981806297
622,74,9.535910857555379,2585.8566013838986
623,74,9.312239782395741,2734.3240770105176
624,75,9.292820727176682,2801.1535845827652
625,74,9.294150642927526,2631.8970664329318
626,73,9.23451670400891,2803.8111178582503
627,73,9.000839435749189,3150.7549218055283
628,73,8.98581342966818,2995.7052068332505
629,73,8.817401879472097,2888.4838800238404
630,72,8.56376014084974,3181.866997884256
631,71,8.538974459077428,3263.2279889853257
632,69,8.360969719708843,3063.2804454892444
633,69,8.181278710598766,2690.825619717045
634,69,8.102374389893264,2757.3866878586387
635,69,7.625491424065849,2192.367729207732
636,69,7.301718412646807,2270.022596119
637,69,7.485672629793828,3035.403046166265
638,69,7.795134490307463,3091.456721171375
639,69,8.072160390754906,3614.132816152421
640,69,8.335307592544835,3491.7876157597493
641,68,8.457294395437764,3408.8904035326937
642,68,8.043137354841017,2616.9537610241114
643,68,7.97153833510999,2605.031833967765
644,68,8.163566222045741,3067.3919198848675
645,68,7.990674057710809,2725.8501571547577
646,67,8.01358065956035,2655.426085113542
647,67,7.863413359068121,2653.117238807426
648,68,7.4559549232629445,2450.272645825561
649,68,7.393942721277127,2370.9778798684247
650,68,6.9997076563177805,1783.2741412323412
651,69,6.740109440369774,2208.151044852494
652,69,6.911179063570876,2579.71496714174
653,69,7.08111589277511,2463.5626922314286
654,70,6.983869878719611,2385.984516323078
655,70,6.97339109356135,2726.523387212462
656,70,7.094812779363231,2473.009754231978
657,70,6.931180533338392,2511.3640405401775
658,70,7.312608548073373,3130.387807228387
659,70,7.765968522796194,3273.9472322081997
660,71,8.018988260033108,3275.7009915002004
661,69,8.131534272046814,3129.651202785796
662,69,8.188090979632376,2922.556070142241
663,70,7.999272776980232,2801.2586723797426
664,70,7.750829497688887,2789.8726531067387
665,70,7.4597360217846695,2348.194181041604
666,71,7.426274197957977,2951.298002268321
667,71,7.509312115044959,2950.2873276320042
668,71,7.566656283046168,3180.4081652098894
669,72,7.6507664111755656,3071.162115444919
670,72,7.727873015782803,2985.3417316977198
671,71,7.877734605789239,2859.220983037187
672,72,7.964848276996351,2980.2757246951446
673,72,8.010413982389146,2683.965106275533
674,72,8.149614350702624,2701.7379394966524
675,72,7.99370470189014,2562.0869125017334
676,72,8.153886195908353,2863.9723813675832
