step,vehicle_count,speed,co2_emission,congestion
1912,78,8.1405797550224,2643.72134332329,0
1913,77,8.265185865430642,2911.6952009506676,0
1914,77,8.194712511800248,2662.2162260791956,0
1915,75,8.138810382616674,2417.3790421592826,0
1916,73,8.448268780127952,3170.7216277728558,0
1917,73,8.38634382953646,3020.885713389491,0
1918,73,8.617148064302775,3181.947015828302,0
1919,72,8.636118977124784,2495.724874659317,0
1920,72,8.603077418599765,2853.1901561058216,0
1921,72,8.915812115034473,3199.4438444398056,0
1922,72,9.198733138525284,3111.12124860859,0
1923,73,9.264624039005039,3189.0015270996505,0
1924,72,9.527518661351296,3502.53841190066,0
1925,72,9.917548286681516,3726.7875126076597,0
1926,73,9.913745207039737,3466.229458271616,0
1927,73,9.906887912254737,3021.597405575076,0
1928,72,10.135020975233829,3473.6542802914564,0
1929,73,9.980461002764143,3059.033645476788,0
1930,73,9.852059599897343,2822.3848173785573,0
1931,73,9.638714690349458,3004.718706942495,0
1932,73,9.209714146088944,2975.7958083552853,0
1933,72,8.986100394499058,2864.2769299203956,0
1934,72,8.927659125497891,2795.4112719330087,0
1935,73,8.855208101520548,2834.2394163056297,0
1936,72,9.240223115828032,3151.7765659495462,0
1937,72,9.477341485202178,3209.176897772773,0
1938,72,9.149279195256362,2563.147764873979,0
1939,72,8.903503887106973,2897.5257494171365,0
1940,72,9.048732948243954,3210.7714727938333,0
1941,72,8.930399832967474,3065.578064781544,0
1942,72,9.050795219654933,3205.2585674674733,0
1943,71,9.41573326087082,3432.52287149622,0
1944,72,9.715509231866308,3480.288518408614,0
1945,72,9.897665764161218,3394.5409786329556,0
1946,72,10.207398263495726,3294.926155888532,0
1947,73,10.325366308512866,3172.546743543263,0
1948,73,10.569721959513048,3410.7527643032245,0
1949,73,10.566953122867199,3191.569427044423,0
1950,74,10.42249839977531,3464.685095542771,0
1951,72,10.309314686873298,3062.4732689275193,0
1952,71,10.151787946495908,2955.4293504304287,0
1953,72,9.822965008484406,2702.216197162891,0
1954,72,9.673651515455605,2955.694349782357,0
1955,72,9.485636924845458,2766.5308292370933,0
1956,73,9.04169326084235,2579.9003772637243,0
1957,73,8.884213254401532,2753.464451856664,0
1958,72,8.548136698372888,2726.1705456943446,0
1959,73,8.175597864755346,2442.8989599389174,0
